cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/30/2016,11/3/2016,"IBD/TIPP","A-",898,"lv",3.238707,44.4,43.9,3.7,,46.04953,43.78461,2.765046,,"","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/",48266,75630,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Wisconsin",10/31/2016,11/1/2016,"Public Policy Polling","B+",1050,"lv",3.237028,48,41,,,46.68089,39.81672,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48330,75703,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/20/2016,10/25/2016,"Pew Research Center","B+",2120,"rv",3.212589,46,40,6,,45.2738,43.07296,3.292076,,"","http://www.people-press.org/2016/10/27/as-election-nears-voters-divided-over-democracy-and-respect/",47616,74519,10/27/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/20/2016,10/24/2016,"SurveyUSA","A",1251,"lv",3.211857,48,45,2,,46.29077,46.13881,1.358456,,"","http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/10/25/florida_decides_polls_presidential_race.html#pdfs",47465,74252,10/25/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/22/2016,10/25/2016,"Fox News/Anderson Robbins Research/Shaw & Company Research","A",1221,"lv",3.175665,44,41,7,,44.59618,43.0841,5.721898,,"","http://www.foxnews.com/politics/interactive/2016/10/26/fox-news-poll-october-26-2016/",47542,74365,10/26/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"California",10/25/2016,10/31/2016,"YouGov","B",1498,"lv",3.166234,53,33,4,,52.66421,33.47863,4.97573,,"","http://www.sacbee.com/news/politics-government/capitol-alert/article112168782.html",48125,75391,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/28/2016,11/3/2016,"USC Dornsife/LA Times","",2962,"lv",3.148656,43.38,46.89,,,44.80168,43.95111,,,"","http://latimes.com/politics/",48265,75629,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/30/2016,11/1/2016,"YouGov","B",1233,"lv",3.135305,46,43,4,,45.79217,42.68578,5.374272,,"","https://today.yougov.com/news/2016/11/02/post-comey-poll-clinton-leads-three/",48082,75219,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/28/2016,11/1/2016,"CBS News/New York Times","A-",927,"lv",3.061167,45,42,5,,45.01408,42.58213,3.644272,,"","http://www.cbsnews.com/news/five-days-to-go-the-presidential-race-tightens-cbsnyt-poll/",48180,75450,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Georgia",11/3/2016,11/3/2016,"Landmark Communications","B",1000,"lv",3.02738,46,48,4,,44.98286,47.70848,4.791215,,"","https://twitter.com/LoriGearyWSB/status/794532025038499840",48322,75693,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Arizona",10/30/2016,11/1/2016,"Marist College","A",719,"lv",3.018738,40,45,9,,38.36204,45.62658,7.488163,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48211,75509,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"California",10/28/2016,10/31/2016,"SurveyUSA","A",747,"lv",2.965604,56,35,4,,54.57206,34.33521,4.305446,,"","http://sanfrancisco.cbslocal.com/2016/11/01/surveyusa-kpix-5-poll-hillary-clinton-donald-trump-prop-64-marijuana/",48011,75087,11/1/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Missouri",11/1/2016,11/2/2016,"Public Policy Polling","B+",871,"lv",2.957067,37,50,4,,36.29399,49.14663,5.252149,,"","http://images.campaignpartner.net/images/15290/MissouriResults112.pdf",48119,75343,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Arizona",10/29/2016,10/31/2016,"Saguaro Strategies","",2229,"lv",2.889723,45,44,7,,43.05725,44.04293,6.161557,,"","https://www.scribd.com/document/329707080/Saguaro-Strategies-Arizona-Survey-October-29-31",48185,75456,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Georgia",10/30/2016,11/1/2016,"Marist College","A",707,"lv",2.876914,44,45,8,,42.37236,45.55989,6.488163,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48209,75507,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Texas",10/30/2016,11/1/2016,"Marist College","A",679,"lv",2.840763,40,49,6,,38.36597,49.60118,4.488163,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48210,75508,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Missouri",10/31/2016,11/1/2016,"Remington","",1722,"lv",2.82056,39,52,4,,38.63681,50.42551,4.979362,,"","http://projects.fivethirtyeight.com/polls/20161103_MO_1.pdf",48186,75458,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",11/1/2016,11/3/2016,"Rasmussen Reports/Pulse Opinion Research","C+",1500,"lv",2.785343,44,44,4,,44.30055,43.96838,4.274517,,"","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_nov4",48320,75689,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",799,"lv",2.77554,48,44,4,,46.9433,42.19596,3.31716,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48090,75243,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Nevada",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",790,"lv",2.752018,43,49,5,,41.93802,47.22867,4.31716,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48089,75239,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Utah",10/31/2016,11/2/2016,"Emerson College","B",1000,"lv",2.74917,19.6,39.8,3,27.6,19.42245,37.91191,2.949194,27.67184,"","http://media.wix.com/ugd/3bebb2_f1333cfb6e9f42ae9d2e9dd81053b33a.pdf",48196,75478,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Arizona",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",769,"lv",2.729363,44,49,5,,42.93557,47.24391,4.31716,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48087,75231,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/20/2016,11/1/2016,"RAND (American Life Panel)","B-",2269,"lv",2.72068,43.7,34.6,7.7,,41.7892,39.12739,5.718954,,"","http://www.rand.org/pubs/research_reports/RR1792.html",48009,75084,11/1/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/28/2016,11/3/2016,"CVOTER International","C+",1395,"lv",2.692137,48.53,48.44,,,46.36343,44.78474,,,"","http://www.upi.com/Top_News/US/2016/11/04/UPICVoter-poll-Clinton-Trump-remain-locked-in-dead-heat/6171478273495/",48332,75712,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",773,"lv",2.674369,49,47,3,,47.93938,45.22029,2.31716,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48088,75235,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Nevada",10/31/2016,11/1/2016,"Public Policy Polling","B+",781,"lv",2.669798,48,45,,,46.36166,43.48727,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48328,75701,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/25/2016,10/26/2016,"Marist College","A",780,"lv",2.644465,47,41,8,,45.19826,42.75442,5.871139,,"","http://www.nbcnews.com/meet-the-press/polls-clinton-leads-trump-north-carolina-dead-heat-florida-n675246",47775,74766,10/30/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/29/2016,10/30/2016,"Morning Consult","",1772,"lv",2.632575,42,39,7,,43.0602,40.92719,5.337025,,"","http://www.politico.com/story/2016/10/clinton-emails-comey-poll-politico-morning-consult-230519",47786,74805,10/31/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/28/2016,10/31/2016,"SurveyUSA","A",659,"lv",2.632242,44,51,,,42.05545,49.74248,,,"","http://www.wral.com/wral-poll-trump-charges-ahead-in-nc/16183780/",48008,75083,11/1/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/25/2016,10/27/2016,"Siena College","A",815,"lv",2.628633,42,46,4,,41.68093,48.84868,2.202737,,"","http://www.nytimes.com/interactive/2016/10/30/upshot/florida-poll.html?_r=0",47771,74761,10/30/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/25/2016,10/26/2016,"Marist College","A",779,"lv",2.59948,45,44,5,,43.18146,45.86785,2.871139,,"","http://www.nbcnews.com/meet-the-press/polls-clinton-leads-trump-north-carolina-dead-heat-florida-n675246",47776,74770,10/30/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"California",10/14/2016,10/23/2016,"Public Policy Institute of California","A",1024,"lv",2.577181,54,28,5,,55.49583,30.00657,2.82303,,"","http://www.ppic.org/content/pubs/survey/S_1016MBS.pdf",47545,74374,10/27/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/20/2016,10/24/2016,"GfK Group","B+",1212,"lv",2.56233,51,37,6,,50.14534,40.14851,4.791986,,"","http://ap-gfkpoll.com/main/wp-content/uploads/2016/10/October-2016-AP-GfK-Poll-Topline_Campaign.pdf",47538,74345,10/26/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/21/2016,10/24/2016,"Selzer & Company","A+",805,"lv",2.550267,43,45,4,,42.59467,46.97129,2.649432,,"","http://www.bloomberg.com/politics/articles/2016-10-26/florida-poll",47469,74257,10/26/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/26/2016,10/28/2016,"YouGov","B",1091,"lv",2.544258,48,40,5,,47.64267,40.64414,5.869764,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47777,74787,10/30/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/23/2016,10/25/2016,"Siena College","A",824,"lv",2.49713,46,39,6,,45.59014,42.23589,3.996595,,"","http://www.nytimes.com/interactive/2016/10/27/upshot/pennsylvania-poll.html",47551,74386,10/27/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Iowa",11/1/2016,11/2/2016,"RABA Research","C+",1076,"lv",2.470315,41,44,5,,41.36814,44.84647,4.939262,,"","http://www.thegazette.com/subject/news/public-safety/trump-clings-to-small-edge-in-iowa-20161103",48264,75594,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Arizona",10/26/2016,10/28/2016,"YouGov","B",994,"lv",2.447234,42,44,4,,41.6277,44.74042,4.869764,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47778,74788,10/30/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/31/2016,11/1/2016,"Public Policy Polling","B+",688,"lv",2.443845,48,44,,,46.90635,43.01999,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48329,75702,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Michigan",11/1/2016,11/3/2016,"EPIC-MRA","A-",600,"lv",2.420806,42,38,5,,43.114,38.74679,4.551241,,"","http://www.freep.com/story/news/politics/2016/11/04/free-press-poll-donald-trump-gains-hillary-clinton-race-michigan-tightens/93287658/",48335,75719,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/26/2016,10/28/2016,"YouGov","B",992,"lv",2.408485,48,45,3,,47.65023,45.59553,3.869764,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47779,74789,10/30/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Missouri",10/27/2016,10/28/2016,"BK Strategies","",1698,"lv",2.400184,39,53,,,38.29683,51.7234,,,"","http://themissouritimes.com/35134/blunt-opens-lead-kander-new-poll/",47860,74895,10/31/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/31/2016,10/31/2016,"Gravis Marketing","B-",1195,"rv",2.382791,49,46,2,,49.09587,45.64019,2.29782,,"","http://www.realclearpolitics.com/docs/2016/Gravis_FL_November_3rd_2016.pdf",48261,75567,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Colorado",10/26/2016,10/28/2016,"YouGov","B",997,"lv",2.379409,42,39,7,,41.61889,39.797,7.869764,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47780,74790,10/30/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/28/2016,11/3/2016,"SurveyMonkey","C-",3356,"lv",2.365714,47,45,4,,45.42846,44.67291,1.396366,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48278,75645,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/14/2016,10/17/2016,"Selzer & Company","A+",1000,"lv",2.357426,47,38,8,,46.67307,40.9707,5.86863,,"","http://www.bloomberg.com/politics/articles/2016-10-19/national-poll",47060,73636,10/19/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"New Hampshire",11/1/2016,11/2/2016,"Gravis Marketing","B-",1001,"rv",2.349753,41,43,7,,41.1726,42.16196,7.601561,,"","http://www.breitbart.com/big-government/2016/11/04/exclusive-breitbartgravis-new-hampshire-poll-trump-takes-lead-granite-state/",48338,75724,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/30/2016,10/30/2016,"Remington","",1249,"lv",2.345851,45,43,3,,44.54708,41.90515,3.684188,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47850,74877,10/31/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/24/2016,10/30/2016,"SurveyMonkey","C-",40816,"lv",2.34095,47,41,6,,45.26854,41.69829,2.891858,,"","http://www.nbcnews.com/storyline/data-points/poll-clinton-maintains-national-lead-over-trump-despite-fbi-letter-n675771",47869,74912,10/31/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Iowa",11/1/2016,11/3/2016,"Emerson College","B",700,"lv",2.309043,41,44,5,,40.86204,41.88072,5.121048,,"","http://media.wix.com/ugd/3bebb2_f41eb67b0e694f8ca80b020facc8d937.pdf",48331,75711,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"California",10/28/2016,11/3/2016,"SurveyMonkey","C-",2528,"lv",2.307347,56,29,7,,54.42675,28.68396,4.396366,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48273,75640,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Ohio",10/30/2016,10/30/2016,"Remington","",1187,"lv",2.297178,43,48,3,,42.54226,46.93499,3.684188,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47849,74876,10/31/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Kansas",10/26/2016,10/30/2016,"SurveyUSA","A",624,"lv",2.293345,38,49,7,,36.48708,48.88199,7.053273,,"","http://www.surveyusa.com/client/PollReport.aspx?g=0e1d48a5-2698-448f-8f7a-fa2c92996543",48076,75206,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/27/2016,11/1/2016,"Quinnipiac University","A-",626,"lv",2.28906,46,45,2,,46.30622,44.67634,1.444351,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399",48098,75305,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/30/2016,10/30/2016,"Remington","",1176,"lv",2.288232,45,47,2,,44.55098,45.88094,2.684188,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47848,74875,10/31/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Wisconsin",10/30/2016,10/30/2016,"Remington","",1172,"lv",2.284955,46,42,4,,45.5373,40.96579,4.684188,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47852,74879,10/31/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Georgia",10/28/2016,11/3/2016,"SurveyMonkey","C-",2872,"lv",2.282455,44,46,6,,42.4364,45.62155,3.396366,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48279,75646,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/27/2016,11/1/2016,"Quinnipiac University","A-",612,"lv",2.275563,48,43,3,,48.31014,42.65202,2.444351,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399",48101,75308,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/28/2016,11/3/2016,"SurveyMonkey","C-",2454,"lv",2.268879,46,43,6,,44.4309,42.65712,3.396366,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48307,75674,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Arizona",10/28/2016,11/1/2016,"The Times-Picayune/Lucid","",1113,"lv",2.26221,41,42,8,,40.96793,44.96854,6.275701,,"","https://luc.id/wp-content/uploads/2016/11/Arizona-Battleground-Results.pdf",48102,75313,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Virginia",10/30/2016,10/30/2016,"Remington","",1106,"lv",2.256016,47,43,3,,46.54614,41.91095,3.684188,,"","http://projects.fivethirtyeight.com/polls/20161030_VA_1.pdf",47868,74911,10/31/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/27/2016,11/1/2016,"Quinnipiac University","A-",602,"lv",2.245607,47,44,3,,47.31404,43.62781,2.444351,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399",48099,75306,11/2/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Texas",10/28/2016,11/3/2016,"SurveyMonkey","C-",2322,"lv",2.244357,42,47,6,,40.43001,46.66284,3.396366,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48312,75679,11/4/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Texas",10/31/2016,11/2/2016,"Emerson College","B",700,"lv",2.243273,34.5,49.2,4.9,,34.33389,47.31656,4.866115,,"","http://media.wix.com/ugd/3bebb2_f1333cfb6e9f42ae9d2e9dd81053b33a.pdf",48195,75477,11/3/16,"14:18:34  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/20/2016,10/23/2016,"Siena College","A",792,"lv",2.238907,46,39,8,,45.56088,42.50658,5.726403,,"","http://files.constantcontact.com/9c83fb30501/a28d624b-bd7e-46a7-a024-573e184bd3bb.pdf",47325,74046,10/25/16,"14:18:34  4 Nov 2016"
